Source_Port;Destination_Port;Protocol;Flow_Duration;Total_Forward_Packets;Total_Backward_Packets;Total_Length_Forward_Packets;Total_Length_Backward_Packets;Forward_Packets_Length_Max;Forward_Packets_Length_Min;Forward_Packets_Length_Mean;Backward_Packets_Length_Max;Backward_Packets_Length_Min;Backward_Packets_Length_Mean;Packets_Flow_IAT_Mean;Packets_Flow_IAT_Standard_Deviation;Packets_Flow_IAT_Max;Packets_Flow_IAT_Min;Forward_IAT_Total;Forward_IAT_Mean;Forward_IAT_Min;Backward_IAT_Total;Backward_IAT_Mean;Backward_IAT_Min;Forward_Header_Length;Backward_Header_Length;Forward_Packets_per_Second;Backward_Packets_per_Second;Packets_Length_Min;Packets_Length_Max;Packets_Length_Mean;Packets_Length_Standard_Deviation;Class
56361;10101;17;118;1;1;350;1430;350;350;350;1430;1430;1430;118;0;118;118;0;0;0;0;0;0;8;8;8474.576271;8474.576271;350;1430;1070;623.538291;Mirai
7906;19604;6;862;0;2;0;0;0;0;0;0;0;0;862;0;862;862;0;0;0;862;862;862;0;40;0;2320.185615;0;0;0;0;DoS
59978;443;6;78;1;1;1460;1460;1460;1460;1460;1460;1460;1460;78;0;78;78;0;0;0;0;0;0;20;20;12820.512821;12820.512821;1460;1460;1460;0;Mirai
52828;5355;17;46582;2;1;64;32;32;32;32;32;32;32;23291;18323.965128;36248;10334;10334;10334;10334;0;0;0;16;8;42.935039;21.46752;32;32;32;0;DoS
443;43238;6;233;2;1;2882;1441;1441;1441;1441;1441;1441;1441;116.5;7.778175;122;111;122;122;122;0;0;0;64;32;8583.690987;4291.845494;1441;1441;1441;0;Mirai
443;51875;6;74;1;1;264;1448;264;264;264;1448;1448;1448;74;0;74;74;0;0;0;0;0;0;32;32;13513.513514;13513.513514;264;1448;1053.333333;683.582719;Mirai
2110;554;6;3862;0;2;0;0;0;0;0;0;0;0;3862;0;3862;3862;0;0;0;3862;3862;3862;0;44;0;517.86639;0;0;0;0;DoS
60198;8899;17;275;1;1;32;32;32;32;32;32;32;32;275;0;275;275;0;0;0;0;0;0;8;8;3636.363636;3636.363636;32;32;32;0;Mirai
9020;49784;6;430;2;1;1418;1388;1388;30;709;1388;1388;1388;215;186.67619;347;83;347;347;347;0;0;0;64;32;4651.162791;2325.581395;30;1388;1048.5;679;Normal
443;43238;6;166;1;1;1441;1441;1441;1441;1441;1441;1441;1441;166;0;166;166;0;0;0;0;0;0;32;32;6024.096386;6024.096386;1441;1441;1441;0;Mirai
56260;7100;6;165;0;3;0;4272;0;0;0;1424;1424;1424;82.5;6.363961;87;78;0;0;0;165;82.5;78;0;60;0;18181.818182;1424;1424;1424;0;Mirai
52717;9020;6;117;0;2;0;2776;0;0;0;1388;1388;1388;117;0;117;117;0;0;0;117;117;117;0;64;0;17094.017094;1388;1388;1388;0;Scan
9020;52942;6;121;1;1;30;1388;30;30;30;1388;1388;1388;121;0;121;121;0;0;0;0;0;0;32;32;8264.46281;8264.46281;30;1388;935.333333;784.041666;Mirai
443;51875;6;75;1;1;1448;1448;1448;1448;1448;1448;1448;1448;75;0;75;75;0;0;0;0;0;0;32;32;13333.333333;13333.333333;1448;1448;1448;0;Mirai
52717;9020;6;125;1;1;0;0;0;0;0;0;0;0;125;0;125;125;0;0;0;0;0;0;32;32;8000;8000;0;0;0;0;Scan
9020;49784;6;362;3;1;2806;1388;1388;30;935.333333;1388;1388;1388;120.666667;84.299071;218;71;289;144.5;71;0;0;0;96;32;8287.292818;2762.430939;30;1388;1116.4;607.316063;Normal
58451;53;17;143;0;2;0;252;0;0;0;126;126;126;143;0;143;143;0;0;0;143;143;143;0;16;0;13986.013986;126;126;126;0;Scan
4481;554;6;7954;0;2;0;0;0;0;0;0;0;0;7954;0;7954;7954;0;0;0;7954;7954;7954;0;44;0;251.445813;0;0;0;0;DoS
60112;8899;17;267;2;1;64;32;32;32;32;32;32;32;133.5;181.726443;262;5;5;5;5;0;0;0;16;8;7490.636704;3745.318352;32;32;32;0;Mirai
52727;9020;6;150;0;3;0;4164;0;0;0;1388;1388;1388;75;0;75;75;0;0;0;150;75;75;0;96;0;20000;1388;1388;1388;0;Scan
443;51875;6;74;1;1;576;1448;576;576;576;1448;1448;1448;74;0;74;74;0;0;0;0;0;0;32;32;13513.513514;13513.513514;576;1448;1157.333333;503.449435;Mirai
443;43238;6;119;1;1;1441;1441;1441;1441;1441;1441;1441;1441;119;0;119;119;0;0;0;0;0;0;32;32;8403.361345;8403.361345;1441;1441;1441;0;Mirai
9020;52717;6;123;0;2;0;0;0;0;0;0;0;0;123;0;123;123;0;0;0;123;123;123;0;64;0;16260.162602;0;0;0;0;Scan
51995;8899;17;17;2;1;64;32;32;32;32;32;32;32;8.5;0.707107;9;8;9;9;9;0;0;0;16;8;117647.058824;58823.529412;32;32;32;0;Mirai
52738;9020;6;132;0;2;0;2776;0;0;0;1388;1388;1388;132;0;132;132;0;0;0;132;132;132;0;64;0;15151.515152;1388;1388;1388;0;Mirai
60062;8011;17;56;2;1;70;35;35;35;35;35;35;35;28;26.870058;47;9;47;47;47;0;0;0;16;8;35714.285714;17857.142857;35;35;35;0;Mirai
10000;10101;17;76;0;2;0;72;0;0;0;40;32;36;76;0;76;76;0;0;0;76;76;76;0;16;0;26315.789474;32;40;37.333333;4.618802;Mirai
52727;9020;6;75;0;2;0;1418;0;0;0;1388;30;709;75;0;75;75;0;0;0;75;75;75;0;64;0;26666.666667;30;1388;482.666667;784.041666;Scan
64781;9988;17;186;97;1;3104;32;32;32;32;32;32;32;1.917526;1.017248;8;1;180;1.875;1;0;0;0;776;8;521505.376344;5376.344086;32;32;32;0;Mirai
52717;9020;6;141;2;1;0;0;0;0;0;0;0;0;70.5;0.707107;71;70;70;70;70;0;0;0;64;32;14184.397163;7092.198582;0;0;0;0;Scan
64778;9988;17;75;18;1;576;32;32;32;32;32;32;32;4.166667;6.070662;22;1;56;3.294118;1;0;0;0;144;8;240000;13333.333333;32;32;32;0;Mirai
56361;10101;17;271;3;1;4266;20;1430;1406;1422;20;20;20;90.333333;36.963946;133;68;138;69;68;0;0;0;24;8;11070.110701;3690.0369;20;1430;861.2;767.969531;Mirai
6938;554;6;1969;0;2;0;0;0;0;0;0;0;0;1969;0;1969;1969;0;0;0;1969;1969;1969;0;44;0;1015.744033;0;0;0;0;DoS
8281;51298;6;119;1;1;1460;1460;1460;1460;1460;1460;1460;1460;119;0;119;119;0;0;0;0;0;0;20;20;8403.361345;8403.361345;1460;1460;1460;0;Mirai
443;43238;6;181;1;1;1441;1441;1441;1441;1441;1441;1441;1441;181;0;181;181;0;0;0;0;0;0;32;32;5524.861878;5524.861878;1441;1441;1441;0;Mirai
56260;7100;6;134;1;1;0;0;0;0;0;0;0;0;134;0;134;134;0;0;0;0;0;0;20;20;7462.686567;7462.686567;0;0;0;0;Mirai
443;51875;6;133;1;1;1448;1448;1448;1448;1448;1448;1448;1448;133;0;133;133;0;0;0;0;0;0;32;32;7518.796992;7518.796992;1448;1448;1448;0;Mirai
35808;443;6;113;0;2;0;2896;0;0;0;1448;1448;1448;113;0;113;113;0;0;0;113;113;113;0;64;0;17699.115044;1448;1448;1448;0;Spoofing
60225;8899;17;31;4;1;128;32;32;32;32;32;32;32;7.75;2.217356;10;5;22;7.333333;5;0;0;0;32;8;129032.258065;32258.064516;32;32;32;0;Mirai
5051;554;6;2029;0;2;0;0;0;0;0;0;0;0;2029;0;2029;2029;0;0;0;2029;2029;2029;0;44;0;985.707245;0;0;0;0;DoS
40277;443;6;115;1;1;1460;1460;1460;1460;1460;1460;1460;1460;115;0;115;115;0;0;0;0;0;0;20;20;8695.652174;8695.652174;1460;1460;1460;0;Mirai
9020;49784;6;147;1;1;262;0;262;262;262;0;0;0;147;0;147;147;0;0;0;0;0;0;32;32;6802.721088;6802.721088;0;262;87.333333;151.265771;Normal
56361;10101;17;150;1;1;1430;20;1430;1430;1430;20;20;20;150;0;150;150;0;0;0;0;0;0;8;8;6666.666667;6666.666667;20;1430;490;814.06388;Mirai
9020;56196;6;121;1;1;30;1388;30;30;30;1388;1388;1388;121;0;121;121;0;0;0;0;0;0;32;32;8264.46281;8264.46281;30;1388;935.333333;784.041666;Mirai
443;51875;6;74;1;1;1448;1448;1448;1448;1448;1448;1448;1448;74;0;74;74;0;0;0;0;0;0;32;32;13513.513514;13513.513514;1448;1448;1448;0;Mirai
56361;10101;17;84;0;2;0;80;0;0;0;40;40;40;84;0;84;84;0;0;0;84;84;84;0;16;0;23809.52381;40;40;40;0;Mirai
9020;49784;6;480;3;1;2806;1388;1388;30;935.333333;1388;1388;1388;160;92.714616;264;86;394;197;130;0;0;0;96;32;6250;2083.333333;30;1388;1116.4;607.316063;Normal
9020;52717;6;122;1;1;30;1388;30;30;30;1388;1388;1388;122;0;122;122;0;0;0;0;0;0;32;32;8196.721311;8196.721311;30;1388;935.333333;784.041666;Scan
443;43238;6;275;1;1;1441;1441;1441;1441;1441;1441;1441;1441;275;0;275;275;0;0;0;0;0;0;32;32;3636.363636;3636.363636;1441;1441;1441;0;Mirai
10000;10101;17;147;0;3;0;104;0;0;0;40;32;34.666667;73.5;0.707107;74;73;0;0;0;147;73.5;73;0;24;0;20408.163265;32;40;36;4.618802;Mirai
64776;9988;17;34;13;1;416;32;32;32;32;32;32;32;2.615385;3.150092;10;0;25;2.083333;0;0;0;0;104;8;382352.941176;29411.764706;32;32;32;0;Mirai
49302;443;6;116;0;2;0;2896;0;0;0;1448;1448;1448;116;0;116;116;0;0;0;116;116;116;0;64;0;17241.37931;1448;1448;1448;0;Scan
51996;8899;17;200;1;1;32;32;32;32;32;32;32;32;200;0;200;200;0;0;0;0;0;0;8;8;5000;5000;32;32;32;0;Mirai
56361;10101;17;120;1;1;1430;1430;1430;1430;1430;1430;1430;1430;120;0;120;120;0;0;0;0;0;0;8;8;8333.333333;8333.333333;1430;1430;1430;0;Mirai
51993;8899;17;10;1;1;32;32;32;32;32;32;32;32;10;0;10;10;0;0;0;0;0;0;8;8;100000;100000;32;32;32;0;Mirai
64779;9988;17;42;21;1;672;32;32;32;32;32;32;32;2;1.264911;6;0;36;1.8;0;0;0;0;168;8;500000;23809.52381;32;32;32;0;Mirai
53190;9020;6;74;1;1;0;0;0;0;0;0;0;0;74;0;74;74;0;0;0;0;0;0;32;32;13513.513514;13513.513514;0;0;0;0;Spoofing
60063;8011;17;1;1;1;35;35;35;35;35;35;35;35;1;0;1;1;0;0;0;0;0;0;8;8;1000000;1000000;35;35;35;0;Mirai
9020;56196;6;125;1;1;30;1388;30;30;30;1388;1388;1388;125;0;125;125;0;0;0;0;0;0;32;32;8000;8000;30;1388;935.333333;784.041666;Mirai
10000;10101;17;242;1;1;20;20;20;20;20;20;20;20;242;0;242;242;0;0;0;0;0;0;8;8;4132.231405;4132.231405;20;20;20;0;Mirai
9020;52717;6;117;1;1;30;1388;30;30;30;1388;1388;1388;117;0;117;117;0;0;0;0;0;0;32;32;8547.008547;8547.008547;30;1388;935.333333;784.041666;Scan
52738;9020;6;148;0;2;0;2776;0;0;0;1388;1388;1388;148;0;148;148;0;0;0;148;148;148;0;64;0;13513.513514;1388;1388;1388;0;Mirai
52964;9020;6;147;2;1;0;0;0;0;0;0;0;0;73.5;2.12132;75;72;72;72;72;0;0;0;64;32;13605.442177;6802.721088;0;0;0;0;Mirai
10000;10101;17;278;3;1;4290;1430;1430;1430;1430;1430;1430;1430;92.666667;36.665151;135;71;207;103.5;72;0;0;0;24;8;10791.366906;3597.122302;1430;1430;1430;0;Mirai
52717;9020;6;73;1;1;0;0;0;0;0;0;0;0;73;0;73;73;0;0;0;0;0;0;32;32;13698.630137;13698.630137;0;0;0;0;Scan
52717;9020;6;150;2;1;0;0;0;0;0;0;0;0;75;1.414214;76;74;74;74;74;0;0;0;64;32;13333.333333;6666.666667;0;0;0;0;Scan
51252;443;6;270;0;3;0;4344;0;0;0;1448;1448;1448;135;25.455844;153;117;0;0;0;270;135;117;0;96;0;11111.111111;1448;1448;1448;0;Mirai
10000;10101;17;116;1;1;474;1430;474;474;474;1430;1430;1430;116;0;116;116;0;0;0;0;0;0;8;8;8620.689655;8620.689655;474;1430;1111.333333;551.946857;Mirai
80;53206;6;85;1;1;1448;1448;1448;1448;1448;1448;1448;1448;85;0;85;85;0;0;0;0;0;0;32;32;11764.705882;11764.705882;1448;1448;1448;0;Normal
52075;6500;6;119;0;2;0;2896;0;0;0;1448;1448;1448;119;0;119;119;0;0;0;119;119;119;0;64;0;16806.722689;1448;1448;1448;0;Mirai
52717;9020;6;72;0;2;0;2776;0;0;0;1388;1388;1388;72;0;72;72;0;0;0;72;72;72;0;64;0;27777.777778;1388;1388;1388;0;Scan
5413;443;6;148;1;1;37;29;37;37;37;29;29;29;148;0;148;148;0;0;0;0;0;0;20;20;6756.756757;6756.756757;29;37;31.666667;4.618802;Mirai
52930;9020;6;77;0;2;0;1418;0;0;0;1388;30;709;77;0;77;77;0;0;0;77;77;77;0;64;0;25974.025974;30;1388;935.333333;784.041666;Mirai
51996;8899;17;2;1;1;32;32;32;32;32;32;32;32;2;0;2;2;0;0;0;0;0;0;8;8;500000;500000;32;32;32;0;Mirai
51252;443;6;295;0;3;0;4344;0;0;0;1448;1448;1448;147.5;96.873629;216;79;0;0;0;295;147.5;79;0;96;0;10169.491525;1448;1448;1448;0;Mirai
56247;443;6;148;0;3;0;362;0;0;0;325;0;120.666667;74;2.828427;76;72;0;0;0;148;74;72;0;60;0;20270.27027;0;325;171.75;177.601379;Spoofing
60193;8899;17;24;5;1;160;32;32;32;32;32;32;32;4.8;1.788854;7;2;19;4.75;2;0;0;0;40;8;208333.333333;41666.666667;32;32;32;0;Mirai
60030;8899;17;7;2;1;64;32;32;32;32;32;32;32;3.5;0.707107;4;3;4;4;4;0;0;0;16;8;285714.285714;142857.142857;32;32;32;0;Mirai
5491;554;6;4137;0;2;0;0;0;0;0;0;0;0;4137;0;4137;4137;0;0;0;4137;4137;4137;0;44;0;483.442108;0;0;0;0;DoS
56361;10101;17;290;4;1;100;20;40;20;25;20;20;20;72.5;1.732051;75;71;215;71.666667;71;0;0;0;32;8;13793.103448;3448.275862;20;40;23.333333;8.164966;Mirai
2004;554;6;4358;0;2;0;0;0;0;0;0;0;0;4358;0;4358;4358;0;0;0;4358;4358;4358;0;44;0;458.926113;0;0;0;0;DoS
10000;10101;17;245;1;1;1430;1430;1430;1430;1430;1430;1430;1430;245;0;245;245;0;0;0;0;0;0;8;8;4081.632653;4081.632653;1430;1430;1430;0;Mirai
10000;10101;17;232;0;4;0;136;0;0;0;40;32;34;77.333333;2.081666;79;75;0;0;0;232;77.333333;75;0;32;0;17241.37931;32;40;35.2;4.38178;Mirai
8029;554;6;6574;0;2;0;0;0;0;0;0;0;0;6574;0;6574;6574;0;0;0;6574;6574;6574;0;44;0;304.22878;0;0;0;0;DoS
56361;10101;17;257;0;4;0;136;0;0;0;40;32;34;85.666667;26.274195;116;70;0;0;0;257;85.666667;70;0;32;0;15564.202335;32;40;35.2;4.38178;Mirai
38336;443;6;194;0;3;0;145;0;0;0;145;0;48.333333;97;31.112698;119;75;0;0;0;194;97;75;0;60;0;15463.917526;0;145;36.25;72.5;Mirai
43153;443;6;123;0;2;0;2896;0;0;0;1448;1448;1448;123;0;123;123;0;0;0;123;123;123;0;64;0;16260.162602;1448;1448;1448;0;Scan
51998;8899;17;97;5;1;160;32;32;32;32;32;32;32;19.4;7.092249;30;13;67;16.75;13;0;0;0;40;8;51546.391753;10309.278351;32;32;32;0;Mirai
64778;9988;17;20;2;1;64;32;32;32;32;32;32;32;10;1.414214;11;9;11;11;11;0;0;0;16;8;100000;50000;32;32;32;0;Mirai
51993;8899;17;16;1;1;32;32;32;32;32;32;32;32;16;0;16;16;0;0;0;0;0;0;8;8;62500;62500;32;32;32;0;Mirai
39310;7760;6;82;1;1;1400;1400;1400;1400;1400;1400;1400;1400;82;0;82;82;0;0;0;0;0;0;20;20;12195.121951;12195.121951;1400;1400;1400;0;Mirai
60124;8899;17;70;4;1;128;32;32;32;32;32;32;32;17.5;22.128413;50;3;57;19;3;0;0;0;32;8;57142.857143;14285.714286;32;32;32;0;Mirai
